rubrique;partie;intitule_officiel;support_cours;statut_declare_notion
1.1;1. Modèles d'organisation et contrôle de gestion (30 h);Évolution des modèles d'organisation;"M (Dunod MCG) ch.1 p.1 ; cours prof. séance 3";A
1.2;1. Modèles d'organisation et contrôle de gestion (30 h);Le positionnement du contrôle de gestion et l'identification du métier comme aide à la stratégie;"M ch.2 p.32 ; séances 1/5";I/A
1.3;1. Modèles d'organisation et contrôle de gestion (30 h);Le contrôle de gestion et les systèmes d'information et de communication;M ch.3 p.63;I
2.1;2. Management stratégique (80 h);Analyse et choix stratégiques;M ch.4 p.112, ch.5 p.134;A
2.2;2. Management stratégique (80 h);Place et rôle du contrôle de gestion stratégique;"M ch.6 p.158 ; séance 4";I
2.3;2. Management stratégique (80 h);Approche du marketing stratégique;M ch.7 p.188;A
2.4;2. Management stratégique (80 h);La gestion du périmètre de l'entité;M ch.8 p.211;A
2.5;2. Management stratégique (80 h);La planification et le diagnostic stratégique;M ch.9 p.234;A
2.6;2. Management stratégique (80 h);Analyse des parties prenantes et structures de gouvernance;"M ch.10 p.253 ; séance 6";A
2.7;2. Management stratégique (80 h);Contrôle de gestion et changement organisationnel;M ch.12 p.318;I
3.1;3. Conduite du changement (40 h);Le management du changement;M ch.12 p.318;I
3.2;3. Conduite du changement (40 h);Management et pilotage par les processus;M ch.11 p.290;A
3.3;3. Conduite du changement (40 h);Le contrôle de gestion et le pilotage stratégique;M ch.13 p.345;A
4.1;4. Management des ressources humaines et des compétences (30 h);La gestion des ressources humaines;M ch.14 p.372;U (limité)
4.2;4. Management des ressources humaines et des compétences (30 h);La gestion des compétences;M ch.15 p.398;I
