annee;page;observation;rubriques;probleme_candidats;consequence_revision
2020;p. 7;Sujet long : « Le critère de bonne gestion du temps des analyses est devenu récurrent sur le sujet UE3 ».;;oui;S'entraîner en temps réel (4 h) avec beaucoup d'annexes.
2020;p. 7-8;Points majeurs : extra-financier, investissements immatériels et humains, mise en œuvre stratégique, gestion du changement, « calculs de coûts/performances fondamentaux », incertitude, choix entre options, scénarios.;3.3|4.1|4.2|3.1|2.7|2.5;non;"Couvrir changement + RH + calculs de coûts ; raisonner en scénarios."
2020;p. 8;Épreuve « plus axée sur une réflexion ancrée sur des cas réels […] que sur des calculs bruts et des définitions non contextualisées ».;;non;Toujours appliquer l'outil au cas.
2021;p. 8;"Sujet start-up en 4 dossiers (diagnostic, business model, RH, rôle du contrôleur) ; « assez long » ; contenu du programme UE3 « pas […] profondément modifié avec la réforme ».";2.1|2.3|4.1|1.2;non;Les annales antérieures à 2020 restent exploitables en UE3.
2024;p. 24;"« le contrôle de gestion fait part égale avec le management » ; compétences de haut niveau (analyser, évaluer, créer).";2.5;non;Le contrôle de gestion chiffré pèse désormais la moitié du barème.
2024;p. 25;"Réponses descriptives, récitation, « fréquent manque de contextualisation » ; méconnaissance des TPE et des services.";;oui;"Contextualiser ; s'entraîner sur des TPE et des services."
2024;p. 26;« de nombreux candidats ont utilisé le PESTEL ou SWOT au lieu des forces de Porter pour analyser le micro-environnement ».;2.1;oui;Choisir l'outil selon le niveau d'analyse (macro vs micro).
2024;p. 26;« peu de candidats ont compris qu'il fallait utiliser la méthode du facteur rare ».;2.5;oui;Refaire des exercices d'optimisation sous contrainte.
2025;p. 28;"Rééquilibrage CG/management « confirmé » ; concevoir un schéma d'analyse d'écarts, analyser masse salariale et prix de transfert ; RSE traitée par le double prisme.";2.5|4.1|2.4|1.2;non;Savoir construire soi-même une décomposition d'écarts.
2025;p. 29;"Consignes non respectées (concepts non définis alors que demandé) ; récitation « comme en 2024 ».";;oui;Définir chaque concept demandé avant de l'appliquer.
2025;p. 29-30;"« De nombreux candidats ne maîtrisent pas les techniques de base, qu'il s'agisse de la décomposition des écarts et des différents effets de la masse salariale » ; calcul d'une redevance à partir d'une formule simple raté.";2.5|4.1;oui;PRIORITÉ : écarts (y compris réinterprétés) et effets niveau/masse/report.
2025;p. 30;"Conseils 2026 : maîtriser et réinterpréter les techniques ; exploiter calculs et concepts dans une argumentation ; articuler management et CG.";2.5|2.4;non;Chaque calcul doit déboucher sur une analyse et une préconisation.
2025;p. 18-19;"Taux de réussite UE3 : 50,14 % (2024) → 17,28 % (2025) ; moyenne 9,65 → 7,08.";;oui;Session 2025 très sélective : le niveau technique est discriminant.
