annee;page;observation;rubriques;probleme_candidats;consequence_revision
2020;p. 7;Format modifié : la question de réflexion (25 % des points) est remplacée par de petites questions de cours insérées dans le sujet.;;non;S'entraîner aux questions de cours courtes intégrées au cas, pas à la dissertation.
2020;p. 7;Seule vraie nouveauté du programme dans le sujet : la question sur la blockchain.;6.5;non;Connaître définitions et usages de la blockchain en finance/trésorerie.
2020;p. 7;"Rappel du rapport 2019 : extra-financier et gouvernance, innovations financières (blockchain, fintech, ICO), réglementation financière, évaluation des patrimoines/immobilier sont « des points majeurs » ; « il n'est plus envisageable d'en faire l'impasse ».";2.2|6.5|1.3|3.3;non;Couvrir les « nouveautés » 2019 même hors calcul.
2022;p. 9;Épreuve initiale annulée : « Le sujet de secours a été activé » (4 parties égales : analyse financière simple, gouvernance et dirigeant, finance comportementale, RSE/approche partenariale), « conçu sans besoin de faire de calculs » à titre d'« exception ».;2.1|2.2|1.1;non;"Le sujet 2022 réellement composé est le sujet Energy+ ; son absence de calcul est une exception, pas une tendance."
2022;p. 9;Conseils 2023 : les nouveaux points du programme « constituent des thèmes clés pour les examens des années à venir » : finance verte/durable, gouvernance, réglementations et régulations, reporting extra-financier, fintech et IA, aspects comportementaux.;2.2|6.5|1.1|5.3;non;Fiches sur chacun de ces thèmes, y compris la réglementation financière (5.3).
2022;p. 5;Taux de réussite UE2 = 52,49 % (moyenne 9,73, médiane 10), contre 23,86 % en 2021.;;non;Taux atypique lié au sujet de secours sans calcul.
2021;p. 7;Sujet « complet » : bêta, VAN, option de change / contrat à terme + questions de restitution du cours (immobilier, crypto-actifs).;1.2|4.1|5.2|6.5;non;"Les fondamentaux calculatoires restent le socle ; la restitution de cours rapporte des points."
2021;p. 7-8;Nouveautés à maîtriser : finance environnementale, gouvernance, régulation, indicateurs extra-financiers, fintech, finance comportementale.;2.2|6.5|1.1;non;Fiches synthétiques sur chacun de ces thèmes.
2021;p. 3-4;"Taux de réussite UE2 = 23,86 % ; 30,1 % des copies < 6.";;oui;UE à fort taux d'élimination : sécuriser le socle calculatoire.
2024;p. 22;D1 « classique, essentiellement calculatoire » : MEDAF puis trois méthodes d'évaluation pour une fourchette de négociation (OPR Bel).;1.2|3.1|3.2|6.3;non;Savoir enchaîner MEDAF → DCF → multiples → fourchette.
2024;p. 22;"Gouvernance après OPR : loi Copé-Zimmermann, théorie de l'agence ; D3 RSE/ESG, parties prenantes, société à mission, actionnariat salarié.";2.2|6.3;non;Gouvernance et RSE = tiers du sujet ou plus.
2024;p. 23;"Candidats sans connaissances de base « (FTD ; RSE/ESG, etc.) », réponses non contextualisées, concepts théoriques fondamentaux non maîtrisés.";3.1|2.2|1.1;oui;"Retravailler le calcul des FTD et les définitions RSE/ESG ; contextualiser."
2024;p. 23-24;"« la performance durable de l'entreprise est autant à prendre en considération que les performances financière et économique » ; articuler cours, théorie et exemples ; tableaux (TFT).";2.2|1.1;non;Intégrer systématiquement une dimension ESG dans les conseils.
2025;p. 25;"D1 : coût du capital d'une société non cotée par le MEDAF (comparables) ; VAN/TIR de projets exclusifs et divergences.";1.2|4.1;non;Maîtriser bêta désendetté/réendetté et conflit VAN/TRI.
2025;p. 26;Questions de niveau DCG (VAN, TRI, annuités constantes, tableaux d'amortissement) jugées légitimes : « les acquis du DCG constituent un préalable indispensable ».;4.1|4.2;non;Revoir les mathématiques financières du DCG.
2025;p. 26;« la faible maîtrise […] de certains mécanismes du LBO, en particulier le calcul des annuités constantes ».;6.3|4.2;oui;Refaire un montage LBO complet (holding, dette senior/junior, remontée de dividendes).
2025;p. 26;D3 (crowdfunding, dividende, grands auteurs) insuffisamment traité par mauvaise gestion du temps malgré un barème élevé.;6.5|6.1|4.2;oui;Réserver du temps au dernier dossier rédactionnel.
2025;p. 26-27;"Méconnaissance des concepts théoriques fondamentaux « notamment en finance d'entreprise » ; posture d'analyste et de conseiller ; tableaux systématiques.";1.1|6.1;oui;Fiches auteurs/théories (MM, agence, signal, Fama, Gordon).
