ue;annee;dossier;intitule;points;total_points;questions_resume;rubriques_principales;rubriques_secondaires;competences;techniques;nature;technicite;source;statut_source
UE3;2023;1;Analyse de la stratégie commerciale (gamme Brise);30;100;Q1 PESTEL, opportunités/menaces, scénarios · Q2 5 forces de Porter · Q3 synthèse de l'environnement général et concurrentiel (1/2 page);2.1;;PESTEL, 5 forces, scénarios, synthèse rédigée;PESTEL|Porter_5F|scenarios|note_synthese;rédaction;1;Drive UE 3 - 2023 Sujet (id 1xMT0NniBLoc_bpI7EfuUnzKtD-pAJVa_);sujet officiel (PDF texte)
UE3;2023;2;Analyse stratégique (relocalisation/internalisation Ciel'Ouvert);35;100;Q1 note au COPIL sur les marges sur coûts variables, écarts volume et prix/coût 2021-2022 · Q2 cartographie des parties prenantes · Q3 gain économique d'une relocalisation vs coûts de lancement · Q4 raisons (économiques, humaines, opérationnelles, politiques) de relocaliser;2.5|2.4|2.6;;analyse d'écarts sur marge, analyse différentielle make-or-buy, cartographie des parties prenantes (Mendelow), relocalisation;ecarts|faire_faire_faire|parties_prenantes|note_synthese;mixte;2;idem;idem
UE3;2023;3;Organisation et management des ressources humaines;35;100;Q1 définir la compétence · Q2 formation et plan de développement des compétences · Q3 attractivité, motivation, fidélisation des talents · Q4 coûts cachés liés à la QVT (Savall) · Q5 construire un tableau de bord social;4.2|4.1|3.2;;compétences, plan de formation, marque employeur/fidélisation, coûts cachés, TBS;competences|formation|QVT_attractivite|couts_caches|TBS;rédaction (outil à construire);1;idem;idem
UE3;2022;1;Stratégie et marketing (Gant Maille);40;100;Q1 PESTEL · Q2 5 forces, opportunités/menaces du DAS · Q3 stratégie générique de Porter · Q4 enjeux B2B / B2C · Q5 marketing stratégique (objectifs, étapes) · Q6 leviers marketing classiques et digitaux, fidélisation;2.1|2.3;;PESTEL, Porter, stratégies génériques, marketing stratégique, marketing digital;PESTEL|Porter_5F|strategies_generiques|marketing|digital;rédaction;1;Drive UE 3 - 2022 Sujet (id 1teKOeoXO-2gnAE5GYna38WdRHMRUfKgB);sujet officiel (PDF texte)
UE3;2022;2;Ressources humaines et compétences;35;100;Q1 enjeux de la GEPP · Q2 diagnostic RH et préconisations · Q3 knowledge management (Nonaka-Takeuchi) · Q4 tableau de bord social · Q5 statut de gantière à domicile · Q6 masse salariale au 31/12 · Q7 rémunération, dysfonctionnements, coûts cachés, seuil de décision;4.1|4.2;3.2|1.1;GEPP, diagnostic RH, KM, TBS, masse salariale, coûts cachés;GEPP|KM|TBS|masse_salariale|couts_caches;mixte;2;idem;idem
UE3;2022;3;Gouvernance et RSE;25;100;Q1 parties prenantes, attentes, jeux de pouvoir · Q2 gouvernance familiale (avantages, limites, évolutions) · Q3 RSE et développement durable, amélioration de la performance globale en petite structure;2.6;1.2;parties prenantes, gouvernance familiale, RSE/performance globale;parties_prenantes|gouvernance|RSE;rédaction;1;idem;idem
UE3;2021;1;Diagnostic stratégique (Back Market);24;100;Q1 SWOT et note sur les facteurs clés de succès · Q2 stratégie Océan bleu · Q3 tenabilité de l'Océan bleu, risques concurrentiels;2.1;;SWOT, FCS, Océan bleu;SWOT|ocean_bleu;rédaction;1;Drive UE 3 - 2021 Sujet (id 1VWk1i_Asi9F06sJHkYJzqUMhT5M7qJOT);sujet officiel · structure confirmée par [Rapport du jury 2021, p. 8]
UE3;2021;2;Présentation et analyse du business model;24;100;Q1 vocation du business model canvas · Q2 compléter un BMC · Q3 pierre angulaire de l'écosystème, FCS, risques;2.1|2.5;2.3;business model canvas, plateforme/place de marché;business_model;rédaction (outil à compléter);1;idem;idem
UE3;2021;3;Ressources humaines et modélisation des équipes;26;100;Q1 intégration et fidélisation des recrues (télétravail) · Q2 communication interne, management libéré · Q3 happiness manager et génération Y · Q4 coût chiffré du poste, avis, turnover;4.1|4.2;1.1;intégration, communication interne, entreprise libérée, turnover, coût d'un poste;integration_fidelisation|cout_turnover|seuil_rentabilite;mixte (rédaction dominante);1;idem;idem
UE3;2021;4;Opportunité pour un contrôleur de gestion d'intégrer Back Market;26;100;Q1 BSPCE et fidélisation · Q2 évolution du CA et de la rentabilité 2016-2021 · Q3 commenter (profil start-up) · Q4 outils de contrôle de gestion en start-up (Meyssonnier), nature, périodicité;1.2|2.5|4.2;3.3;rôle du contrôleur, outils de CG adaptés aux start-up, rémunération en titres;remuneration|previsions_resultat|outils_CG;mixte;1;idem;idem
UE3;2025;1;Incidence de la RSE et coût de la pollution (Tanneries Montesquieu);8;20;Q1 enjeux RSE · Q2 calcul de la redevance d'assainissement 2023/2024 et écart total · Q3 concevoir un schéma de décomposition de l'écart (sous-écarts, formules) puis le calculer · Q4 trois parties prenantes et attentes · Q5 note de synthèse (20 lignes);2.5|2.6|1.2;3.3;analyse d'écarts réinterprétée (redevance), parties prenantes, RSE, synthèse;RSE|ecarts|parties_prenantes|note_synthese;mixte;3;Drive UE 3 - 2025 Sujet (id 19NSaWmap1ZVZ1vPk7vJtBqimkrjaceNT, ajouté le 24/09/2026);copie FicheBEN du sujet officiel · structure confirmée par [Rapport du jury 2025, p. 28]
UE3;2025;2;Gestion des compétences et des ressources humaines;6;20;Q1 diagnostic stratégique interne des compétences · Q2 compétences distinctives · Q3 conséquences sur la masse salariale (effets) · Q4 calendriers d'augmentation (calculs) · Q5 analyse au regard des compétences;4.1|4.2;2.1;diagnostic ressources/compétences, compétences distinctives, effets masse/niveau/report;diagnostic_ressources_competences|competences|masse_salariale;mixte;2;idem;idem
UE3;2025;3;Gestion des prix de transfert;6;20;Q1 politique de gestion du périmètre lors du rachat, objectifs · Q2 résultats avant/après impôt des deux entités et impact groupe · Q3 conséquences d'un changement de méthode de prix de transfert · Q4 trois arguments pour une hausse du prix de transfert;2.4;2.1|2.2|2.6;prix de cession interne, fiscalité/éthique, gestion du périmètre;PCI|integration_verticale|couts_transaction;mixte;2;idem;idem
UE3;2020;1;Diagnostic stratégique et préconisations (SER-START, crise Covid);60;100;A : éléments d'un diagnostic, démarche choisie (forces concurrentielles), note · B : coût unitaire, marge, seuil de rentabilité par activité, politique tarifaire, attentes clients, valeur différenciatrice · C : valeur client/valeur entreprise de packs, positionnement, préconisations, nouveau pack;2.1|2.3|2.5;;diagnostic stratégique, coûts/marges/seuil, analyse de la valeur, positionnement, préconisations;diagnostic_strategique|couts_marges_seuil|tarification|valeur_client|note_synthese;mixte;2;Drive UE 3 - 2020 Sujet (id 1RCexDxjtqu84jmNeWZRjoY8ok8XkRaHq);sujet officiel (copie FicheBEN) · structure confirmée par [Rapport du jury 2020, p. 7]
UE3;2020;2;Amélioration des processus et de leur pilotage;40;100;A : audit vs diagnostic interne, diagnostic des processus, dysfonctionnements, coûts des dysfonctionnements, groupe de projet, solutions · B : tableau de bord de pilotage, indicateurs économiques, sociaux, environnementaux;3.2|3.3;3.1|2.2;diagnostic des processus, coûts cachés, conduite de projet, tableau de bord, indicateurs de performance globale;diagnostic_processus|couts_caches|conduite_projet|tableau_de_bord|performance_globale;mixte;2;idem;idem
UE3;2019;1;Structure et engagement sociétal (Picture Organic Clothing);31;100;Q1-2 adhocratie et organisation missionnaire (Mintzberg) · Q3 entreprise libérée · Q4-5 actions RSE et ISO 26000;1.1|1.2;3.3|2.6;configurations de Mintzberg, entreprise libérée, RSE/ISO 26000;Mintzberg|entreprise_liberee|RSE;rédaction;1;Drive UE 3 - 2019 Sujet (id 1JwbVXVxj0D8e5MjPelBHFpAMJmHzciIi);ancien programme (dernière session avant réforme) — copie FicheBEN
UE3;2019;2;Analyse stratégique;44;100;Q1 stratégie d'ensemble et générique, FCS · Q2 chaîne de valeur · Q3 approche ressources · Q4 compétences stratégiques · Q5-6 risques managériaux et prévention;2.1|4.2;2.2;stratégie générique, chaîne de valeur, RBV, compétences clés, risques;strategies_generiques|chaine_valeur|diagnostic_ressources_competences|competences|risques;rédaction;1;idem;idem
UE3;2019;3;Analyse des marges et prospective;25;100;Q1 modes de développement · Q2 franchise · Q3 marge globale et contribution des canaux · Q4 écarts de marge de production · Q5 marge sur coûts spécifiques par canal, préconisations;2.4|2.5;2.1;croissance/franchise, écarts sur marge, coûts spécifiques;modes_developpement|franchise_plateforme|ecarts|couts_marges_seuil;mixte (calcul dominant);2;idem;idem
UE3;2018;1;Gouvernance, stratégie et diagnostic de la situation de changement (ESO);60;100;Q1-2 stratégies génériques de Porter · Q3 gouvernance, cartographie des parties prenantes · Q4 RSE, éthique · Q5 diagnostic interne participatif · Q6 leviers de performance durable · Q7-9 coût des dysfonctionnements (coûts cachés);2.1|2.6|3.2;1.2|3.3|3.1;stratégies génériques, parties prenantes, RSE, diagnostic socio-économique, coûts cachés;strategies_generiques|parties_prenantes|RSE|couts_caches;mixte;2;Drive UE 3 - 2018 Sujet (id 1gqZDKcVmy14wM9qheGRF6CuEKwIqFLnw);ancien programme — copie FicheBEN
UE3;2018;2;Conduite du changement et amélioration de la productivité;40;100;Q1 conduite du changement en mode projet · Q2 styles de conduite du changement · Q3 progrès continu vs projet · Q4 apprentissage organisationnel · Q5-6 coût complet, gain et rentabilité d'un panier d'actions · Q7 plan d'actions;3.1|3.2;4.2|2.7;conduite du changement, progrès continu, apprentissage organisationnel, rentabilité d'actions;conduite_changement|progres_continu|apprentissage_organisationnel|rentabilite_actions;mixte;2;idem;idem
UE3;2017;1;Analyse stratégique de BlaBlaCar;20;100;Q1 PESTEL · Q2 SWOT;2.1;;PESTEL, SWOT;PESTEL|SWOT;rédaction;1;Drive UE 3 - 2017 Sujet (id 1msvQYlucRB_wk5U38Nc9W9KlMlDNBWp7);ancien programme — copie FicheBEN
UE3;2017;2;Organisation et développement de BlaBlaCar;30;100;Q1-2 mécanismes de coordination et configurations de Mintzberg · Q3-4 modèle de Greiner, crises · mode de croissance internationale et risques;1.1|2.1;2.4|2.7;Mintzberg, Greiner, croissance externe/internationale;Mintzberg|Greiner|modes_developpement;rédaction;1;idem;idem
UE3;2017;3;Politique RH et maîtrise de la masse salariale;50;100;Q1 enjeux de la masse salariale · Q2 masse salariale 2016 · Q3 variation globale et par catégorie, écarts de salaire/composition/effectif · Q4 effets de niveau, masse, report · Q5 politique RH;4.1;;masse salariale, effets niveau/masse/report, écarts;masse_salariale|ecarts;calcul dominant;2;idem;idem
UE3;2016;1;Stratégie, structure et responsabilité sociétale (CRFCK, association);58;100;Q1 diagnostic ressources/compétences, menaces · Q2 stratégie d'ensemble et générique · Q3 structure de Mintzberg, organisation agile · Q4 confiance · Q5 identité organisationnelle · Q6 attentes des parties prenantes · Q7 plan d'action accessibilité;2.1|1.1|2.6;3.3;diagnostic ressources/compétences, stratégies, Mintzberg, parties prenantes, secteur associatif;diagnostic_ressources_competences|strategies_generiques|Mintzberg|parties_prenantes;rédaction;1;Drive UE 3 - 2016 Sujet (id 17uiMfpF3-rzA1susvYQu2xurmFoy7FdN);ancien programme — copie FicheBEN
UE3;2016;2;Gestion de projet de changement;42;100;Q1 projet vs processus, projet à coûts contrôlés · Q2 compétences du chef de projet · Q3 outils de gestion de projet · Q4-6 coût encouru vs budget, valeur acquise, écarts délai/coût, reste à faire · Q7 rôle du contrôle de gestion;3.1|2.5;1.2|3.2;pilotage de projet, valeur acquise (EVM), écarts, rôle du CG;conduite_projet|valeur_acquise|ecarts|outils_CG;mixte (calcul dominant);2;idem;idem
