ue;annee;dossier;question;bareme;attendus_du_corrige;pieges_et_vigilance;source
UE5;2025;1;Q1 alignement stratégique du SI;n.c. (dossier 18 pts);Définition (cohérence stratégie métier / stratégie SI) · appliquée à l'hétérogénéité des cabinets (logiciels, GED, sécurité) · bénéfices : économies d'échelle, qualité, fiabilité des données, gouvernance unifiée, RGPD.;Partir des annexes (pratiques fragmentées).;Corrigé UE5 2025 (Drive « UE 5 - 2025 Corrigé »)
UE5;2025;1;Q2 audit SI et deux référentiels;n.c.;Définition de l'audit SI · COBIT (gouvernance, objectifs de contrôle, maturité) + ISO 27001 (SMSI, risques, PSSI) · variantes recevables : ITIL/ITSM, ISO 22301, NIST CSF.;Dire en quoi CHAQUE référentiel aide le cas.;Corrigé UE5 2025 (Drive « UE 5 - 2025 Corrigé »)
UE5;2025;1;Q3 méthodologie d audit de convergence;n.c.;Périmètre (logiciels métier, infra, sécurité IAM/PCA/PRA, support) · objectifs · 4 étapes : cadrage, collecte, analyse, restitution · livrables (rapport, cartographie, matrice des risques, architecture cible) · échéancier 6-8 semaines avec GANTT.;Échéancier sans GANTT seulement partiellement valorisé : faire le diagramme.;Corrigé UE5 2025 (Drive « UE 5 - 2025 Corrigé »)
UE5;2025;1;Q4 problèmes organisationnels et solutions (organigramme DSI);n.c.;IAM éclaté, BYOD sans contrôle, support inégal, procédures hétérogènes · analyse de l'organigramme (13 personnes : sécurité éclatée, qualité/audit surreprésentée, convergence sous-dimensionnée) · DSSI rattaché à la DG, pôle Gouvernance & Sécurité, séparation RUN/BUILD, PSSI commune, roadmap Zero Trust · centralisation vs décentralisation → centralisation progressive.;Exploiter les effectifs chiffrés de l'organigramme (ratios).;Corrigé UE5 2025 (Drive « UE 5 - 2025 Corrigé »)
UE5;2025;2;Q5 objectifs de la PSSI et PCA/PRA;n.c. (dossier 12 pts);Confidentialité (MFA, chiffrement, habilitations), intégrité (sauvegardes, journalisation), disponibilité · PCA = mode dégradé, PRA = restauration · RTO et RPO.;Définir RTO/RPO. Le corrigé développe trois objectifs alors que la question en demande deux : en traiter deux à fond.;Corrigé UE5 2025 (Drive « UE 5 - 2025 Corrigé »)
UE5;2025;2;Q6 pertinence du Zero Trust et risques du BYOD;n.c.;« Never trust, always verify » : identité, terminaux, réseau · risques BYOD : obsolescence, absence d'EDR, mélange des données, sauvegardes non conformes.;;Corrigé UE5 2025 (Drive « UE 5 - 2025 Corrigé »)
UE5;2025;2;Q7 trois mesures Zero Trust;n.c.;IAM + MFA + RBAC · MDM + EDR · micro-segmentation et accès conditionnel.;Principe + justification par le cas pour chaque mesure.;Corrigé UE5 2025 (Drive « UE 5 - 2025 Corrigé »)
UE5;2025;3;Q8 BI : chaîne de valeur, compétences, bénéfices;n.c. (dossier 10 pts);ETL → entrepôt de données → restitution (dataviz) · compétences : data literacy, RGPD, gouvernance des données, data storytelling · bénéfices : vision 360°, prévisions, reporting ESG.;;Corrigé UE5 2025 (Drive « UE 5 - 2025 Corrigé »)
UE5;2025;3;Q9 rôle de la DSI pour BI et data science;n.c.;Gouvernance des données (référentiels, qualité, métadonnées), sécurité et RGPD, accès aux outils (data warehouse, datamarts, dataviz), alignement, acculturation.;;Corrigé UE5 2025 (Drive « UE 5 - 2025 Corrigé »)
UE5;2024;1;1.1 strates du SI touchées;n.c. (dossier 14 pts);Quatre strates : métier, fonctionnelle, applicative, technique · le CRM touche la strate applicative (et la strate métier si les méthodes changent).;Justifier aussi pourquoi les autres strates ne sont pas touchées.;Corrigé UE5 2024 (Drive « UE 5 - 2024 Corrigé ») — scan lu visuellement
