ue;annee;dossier;question;bareme;attendus_du_corrige;pieges_et_vigilance;source
UE3;2025;1;Q1 définir la RSE et ses axes;n.c.;Définition de la Commission européenne (intégration volontaire des préoccupations sociales et environnementales). Trois axes : social, environnemental, sociétal.;Une définition sourcée est attendue, pas une paraphrase vague.;Corrigé UE3 2025 (copie FicheBEN, Drive « UE 3 - 2025 Corrigé »)
UE3;2025;1;Q2 calcul et analyse des écarts sur la redevance pollution;n.c.;Redevance 2024 = 2,10 × 53 270 × 3,2000208 = 357 976,73 € · 2023 = 1,97 × 55 509 × 3,1073267 = 339 794,66 € · écart global 18 182,07 € défavorable. Décomposition : écart sur redevance unitaire (Ru24 − Ru23) × V24 × Cp24 = 22 160,46 € D · écart sur pollution totale (V24·Cp24 − V23·Cp23) × Ru23 = −3 978,40 € F, lui-même = écart volume (V24 − V23) × Cp24 × Ru23 = −14 114,75 + écart concentration (Cp24 − Cp23) × V23 × Ru23 = 10 136,35. Autre schéma de décomposition accepté.;Transposer la logique des écarts budgétaires (prix × quantité × composition) à un coût NON financier : c'est le cœur de la surprise 2025. Vérifier que la somme des sous-écarts redonne l'écart global. Qualifier chaque écart (F/D) et l'interpréter.;Corrigé UE3 2025 (copie FicheBEN, Drive « UE 3 - 2025 Corrigé »)
UE3;2025;1;Q3 analyse mensuelle (mois atypiques);n.c.;Choisir et justifier trois mois (mai, novembre, décembre dans le corrigé) et relier les écarts à des causes opérationnelles.;Justifier le choix des mois à partir des données, pas au hasard.;Corrigé UE3 2025 (copie FicheBEN, Drive « UE 3 - 2025 Corrigé »)
UE3;2025;1;Q4 parties prenantes et note de synthèse;n.c.;Freeman (1984). Salariés, actionnaires, fournisseurs, riverains, agriculteurs, collectivités · enjeux contradictoires à expliciter · note de synthèse structurée.;Montrer les CONFLITS d'intérêts, pas seulement une liste. Respecter la forme « note ».;Corrigé UE3 2025 (copie FicheBEN, Drive « UE 3 - 2025 Corrigé »)
UE3;2025;2;Q1 diagnostic interne ressources et compétences;n.c.;Approche ressources/compétences : compétences managériales, fonctionnelles, transversales. Compétences distinctives (Hamel et Prahalad) : valeur, rareté, inimitabilité, non-substituabilité.;Citer le modèle ET l'appliquer au cas.;Corrigé UE3 2025 (copie FicheBEN, Drive « UE 3 - 2025 Corrigé »)
UE3;2025;2;Q2 masse salariale : effets niveau, masse, report;n.c.;Effet niveau = 1,005 × 1,015 − 1 = 2,01 % · effet masse = 1 211,04 / 1 200 − 1 = 0,92 % · effet report = 1,0201 / 1,0092 − 1 = 1,08 % · contrôle : (1 + niveau) = (1 + masse) × (1 + report).;Relation MULTIPLICATIVE, pas additive. Base 100 × 12 = 1 200. Les dates d'augmentation déterminent l'indice.;Corrigé UE3 2025 (copie FicheBEN, Drive « UE 3 - 2025 Corrigé »)
UE3;2025;2;Q3 comparer deux calendriers d augmentation;n.c.;Proposition de la direction +117 056 € contre +132 680 € pour celle des représentants du personnel : économie de 15 624 € · lien avec compétences et motivation.;Chiffrer puis argumenter socialement (le moins coûteux n'est pas forcément retenu).;Corrigé UE3 2025 (copie FicheBEN, Drive « UE 3 - 2025 Corrigé »)
UE3;2025;3;Q1 intégration verticale amont;n.c.;Intégration verticale amont par croissance externe · coûts de transaction (Coase, Williamson).;Nommer la théorie et l'appliquer.;Corrigé UE3 2025 (copie FicheBEN, Drive « UE 3 - 2025 Corrigé »)
UE3;2025;3;Q2 résultats des entités avec le PCI actuel;n.c.;Montesquieu : 9 900 € avant IS (7 425 € net) · Athéna : 106 812 000 € (90 790 200 € net). PCI de 1 599 € ≈ coût variable : transfert du bénéfice vers l'Irlande (IS 15 %) · taux de MCV 0,13 % contre 12,60 %.;Calculer chaque entité séparément puis le groupe. Identifier l'effet fiscal du prix de transfert.;Corrigé UE3 2025 (copie FicheBEN, Drive « UE 3 - 2025 Corrigé »)
UE3;2025;3;Q3 nouveau PCI coût complet + marge;n.c.;PCI = coût complet 1 644,83 + 10 % = 1 809,31 € · résultat avant impôt du GROUPE inchangé, impôt total plus élevé.;Un PCI déplace le résultat entre entités sans changer le résultat consolidé avant impôt : seul l'impôt change.;Corrigé UE3 2025 (copie FicheBEN, Drive « UE 3 - 2025 Corrigé »)
